state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id,median_recent_interval,is_monthly,segment,r_score,f_score,m_score,rfm_score
TX,US,1400.0,14,2024-10-12 14:21:52,2025-11-12 19:12:12,100.0,100.0,100.0,100.0,28,True,D0,30.0,True,other,3,1,2,312
AZ,US,3106.0,30,2022-03-18 23:40:00,2025-01-16 13:12:46,103.53333333333332,100.0,206.0,100.0,329,True,D1,30.0,True,churned,1,3,3,133
AZ,US,3900.0,39,2022-09-15 20:03:44,2025-11-15 19:21:24,100.0,100.0,100.0,100.0,25,True,D2,30.0,True,champions,3,4,4,344
TX,US,2878.0,26,2022-05-14 04:48:00,2024-10-01 15:22:45,110.6923076923077,103.0,206.0,103.0,435,True,D3,30.0,True,churned,1,3,3,133
AZ,US,865.2,21,2022-10-16 17:49:36,2024-06-16 15:01:18,41.2,41.2,41.2,41.2,542,True,D4,30.0,True,churned,1,3,1,131
AZ,US,370.8,18,2022-10-06 17:46:55,2024-03-06 17:45:58,20.6,20.6,20.6,20.6,644,True,D5,30.0,True,churned,1,2,1,121
AZ,US,4500.0,41,2022-03-22 19:18:00,2025-11-24 19:14:27,109.7560975609756,100.0,500.0,100.0,16,True,D6,30.0,True,champions,3,4,4,344
AZ,US,2000.0,20,2024-05-01 21:00:11,2025-12-01 19:25:46,100.0,100.0,100.0,100.0,9,True,D7,29.0,True,loyal_donors,3,3,3,333
AZ,US,50.0,1,2022-09-15 03:15:17,2022-09-15 03:15:17,50.0,50.0,50.0,50.0,1183,False,D8,,False,one_time,,,,
AZ,US,103.0,1,2022-05-14 05:15:00,2022-05-14 05:15:00,103.0,103.0,103.0,103.0,1307,False,D9,,False,one_time,,,,
TX,US,1400.0,14,2024-11-01 15:25:40,2025-12-01 19:24:42,100.0,100.0,100.0,100.0,9,True,D10,29.0,True,other,3,1,2,312
TX,US,2163.0,14,2024-10-15 14:56:28,2025-11-15 19:21:25,154.5,154.5,154.5,154.5,25,True,D11,30.0,True,other,3,1,3,313
CO,US,1957.0,38,2022-10-16 17:49:35,2025-11-16 19:19:16,51.5,51.5,51.5,51.5,24,True,D12,31.0,True,loyal_donors,3,4,2,342
TX,US,3000.0,1,2025-08-30 19:17:11,2025-08-30 19:17:11,3000.0,3000.0,3000.0,3000.0,102,False,D13,,False,one_time,,,,
WA,US,103.0,1,2022-09-15 21:54:07,2022-09-15 21:54:07,103.0,103.0,103.0,103.0,1182,False,D14,,False,one_time,,,,
AZ,US,750.0,15,2022-09-27 17:40:39,2023-11-27 17:43:33,50.0,50.0,50.0,50.0,744,True,D15,30.0,True,churned,1,2,1,121
CA,US,122.4,12,2022-08-02 17:53:48,2023-08-04 17:55:23,10.2,10.3,10.3,10.0,859,True,D16,30.0,True,churned,1,1,1,111
CO,US,4223.0,40,2022-10-03 18:01:45,2025-12-03 19:13:19,105.575,103.0,206.0,103.0,7,True,D17,30.0,True,champions,3,4,4,344
GA,US,12.0,1,2022-02-22 04:01:00,2022-02-22 04:01:00,12.0,12.0,12.0,12.0,1388,False,D18,,False,one_time,,,,
TX,US,2200.0,2,2024-07-01 09:00:00,2025-08-11 09:00:00,1100.0,1100.0,1200.0,1000.0,122,True,D19,406.0,False,rec_not_monthly,,,,
AZ,US,480.0,3,2022-08-31 17:36:38,2022-09-27 23:56:56,160.0,160.0,160.0,160.0,1170,True,D20,13.0,True,churned,1,1,1,111
TX,US,1081.5,14,2024-10-16 14:30:54,2025-11-16 19:19:29,77.25,77.25,77.25,77.25,24,True,D21,31.0,True,other,3,1,2,312
AL,US,1050.0,14,2024-11-04 13:12:47,2025-12-04 19:12:53,75.0,75.0,75.0,75.0,6,True,D22,29.0,True,other,3,1,2,312
AZ,US,2850.0,19,2022-09-22 17:47:42,2024-03-22 17:52:12,150.0,150.0,150.0,150.0,628,True,D23,30.0,True,churned,1,3,3,133
GA,US,1030.0,20,2022-09-26 17:44:54,2025-01-11 13:11:50,51.5,51.5,51.5,51.5,334,True,D24,30.0,True,churned,1,3,2,132
AZ,US,2336.0,41,2022-08-11 17:43:49,2025-11-18 19:12:53,56.97560975609756,51.5,206.0,50.0,22,True,D25,30.0,True,loyal_donors,3,4,3,343
FL,US,2500.0,1,2022-10-17 09:00:00,2022-10-17 09:00:00,2500.0,2500.0,2500.0,2500.0,1151,False,D26,,False,one_time,,,,
AZ,US,1700.0,17,2024-08-01 15:38:23,2025-12-01 19:27:45,100.0,100.0,100.0,100.0,9,True,D27,29.0,True,other,3,2,2,322
AZ,US,1648.0,16,2022-09-20 18:11:27,2023-12-20 18:02:52,103.0,103.0,103.0,103.0,721,True,D28,30.0,True,churned,1,2,2,122
TX,US,2163.0,14,2024-11-02 14:13:18,2025-12-02 19:14:38,154.5,154.5,154.5,154.5,8,True,D29,29.0,True,other,3,1,3,313
TX,US,144.20000000000002,14,2024-11-05 13:13:02,2025-12-05 19:15:22,10.3,10.3,10.3,10.3,5,True,D30,30.0,True,other,3,1,1,311
CO,US,2600.0,13,2022-10-31 17:35:31,2023-10-31 17:35:07,200.0,200.0,200.0,200.0,771,True,D31,30.0,True,churned,1,1,3,113
TX,US,2884.0,14,2024-10-25 14:29:45,2025-11-25 19:13:14,206.0,206.0,206.0,206.0,15,True,D32,30.0,True,other,3,1,3,313
AZ,US,721.0,14,2024-07-10 14:25:25,2025-08-10 19:17:49,51.5,51.5,51.5,51.5,122,True,D33,31.0,True,churned,1,1,1,111
UT,US,4500.0,33,2022-10-01 21:33:09,2025-06-01 14:20:55,136.36363636363637,100.0,200.0,100.0,193,True,D34,31.0,True,churned,1,3,4,134
AZ,US,500.0,1,2022-10-21 23:14:20,2022-10-21 23:14:20,500.0,500.0,500.0,500.0,1146,False,D35,,False,one_time,,,,
NC,US,1650.0,33,2022-09-15 19:52:07,2023-12-07 17:53:05,50.0,50.0,50.0,50.0,734,True,D36,14.0,True,churned,1,3,2,132
TX,US,185.4,3,2024-11-01 15:29:19,2025-01-01 13:22:39,61.79999999999999,61.8,61.8,61.8,344,True,D37,29.5,True,churned,1,1,1,111
AZ,US,2700.0,27,2022-10-10 18:10:53,2024-11-10 13:15:04,100.0,100.0,100.0,100.0,396,True,D38,30.0,True,churned,1,3,3,133
AZ,US,2500.0,24,2022-05-13 05:37:00,2024-07-30 14:22:24,104.16666666666669,100.0,200.0,100.0,499,True,D39,29.0,True,churned,1,3,3,133
AZ,US,9421.5,46,2022-03-16 21:34:00,2025-06-07 19:21:46,204.8152173913044,257.5,257.5,51.5,186,True,D40,31.0,True,churned,1,4,4,144
AZ,US,2100.0,21,2024-03-13 17:41:50,2025-11-13 19:12:21,100.0,100.0,100.0,100.0,27,True,D41,30.0,True,loyal_donors,3,3,3,333
UT,US,4700.0,39,2022-05-01 21:25:41,2025-12-01 19:25:00,120.51282051282053,100.0,300.0,100.0,9,True,D42,29.0,True,champions,3,4,4,344
TX,US,700.0,14,2024-10-29 14:20:52,2025-11-29 19:12:30,50.0,50.0,50.0,50.0,11,True,D43,30.0,True,other,3,1,1,311
AZ,US,2727.0,27,2022-10-15 20:18:07,2025-11-28 19:15:11,101.0,100.0,103.0,100.0,12,True,D44,31.0,True,loyal_donors,3,3,3,333
AZ,US,14234.25,48,2022-08-17 20:42:38,2025-11-28 19:14:40,296.546875,214.97,4000.0,74.0,12,True,D45,31.0,True,champions,3,4,4,344
AZ,US,10000.0,1,2024-10-07 14:47:16,2024-10-07 14:47:16,10000.0,10000.0,10000.0,10000.0,429,False,D46,,False,one_time,,,,
GA,US,231.0,3,2024-01-11 17:37:14,2024-04-02 04:12:15,77.0,51.5,154.5,25.0,618,True,D47,40.5,False,rec_not_monthly,,,,
AZ,US,1200.0,1,2022-09-20 01:02:27,2022-09-20 01:02:27,1200.0,1200.0,1200.0,1200.0,1178,False,D48,,False,one_time,,,,
AZ,US,515.0,1,2022-09-13 06:18:55,2022-09-13 06:18:55,515.0,515.0,515.0,515.0,1185,False,D49,,False,one_time,,,,
AZ,US,1003.0,19,2022-04-19 23:27:00,2025-11-20 19:13:36,52.78947368421053,50.0,103.0,50.0,20,True,D50,30.0,True,loyal_donors,3,3,2,332
AZ,US,25.75,1,2022-10-12 06:04:39,2022-10-12 06:04:39,25.75,25.75,25.75,25.75,1156,False,D51,,False,one_time,,,,
AZ,US,9167.0,40,2022-09-03 17:56:54,2025-12-01 19:25:32,229.175,103.0,5150.0,103.0,9,True,D52,29.0,True,champions,3,4,4,344
OK,US,144.20000000000002,14,2024-11-05 13:12:46,2025-12-05 19:14:55,10.3,10.3,10.3,10.3,5,True,D53,30.0,True,other,3,1,1,311
AZ,US,862.0,34,2022-09-12 17:43:41,2025-11-20 19:13:30,25.352941176470587,25.0,25.75,25.0,20,True,D54,30.0,True,loyal_donors,3,3,1,331
AZ,US,150.0,3,2025-09-21 19:26:04,2025-11-21 19:19:52,50.0,50.0,50.0,50.0,19,True,D55,30.0,True,other,3,1,1,311
WY,US,3672.0,42,2022-08-08 17:45:46,2025-12-08 19:14:26,87.42857142857143,77.25,300.0,77.25,2,True,D56,30.0,True,champions,3,4,4,344
TX,US,1100.0,11,2024-11-01 15:29:07,2025-09-01 19:29:35,100.0,100.0,100.0,100.0,100,True,D57,30.0,True,lapsed,2,1,2,212
CA,US,1500.0,30,2023-07-02 17:46:32,2025-12-02 19:14:14,50.0,50.0,50.0,50.0,8,True,D58,29.0,True,loyal_donors,3,3,2,332
TX,US,4500.0,23,2022-12-26 17:37:59,2025-12-06 19:13:13,195.65217391304347,100.0,1000.0,100.0,4,True,D59,30.0,True,other,3,3,4,334
CO,US,900.0,12,2024-06-01 15:56:48,2025-05-01 14:20:15,75.0,75.0,75.0,75.0,224,True,D60,29.0,True,churned,1,1,1,111
AZ,US,560.0,14,2022-10-01 21:33:08,2023-11-01 20:36:38,40.0,40.0,40.0,40.0,770,True,D61,30.0,True,churned,1,1,1,111
TX,US,8500.0,17,2024-08-12 09:00:00,2025-12-08 09:00:00,500.0,500.0,500.0,500.0,3,True,D62,29.0,True,big_spenders,3,2,4,324
AZ,US,103.0,1,2024-06-28 14:42:27,2024-06-28 14:42:27,103.0,103.0,103.0,103.0,530,False,D63,,False,one_time,,,,
TX,US,7210.0,14,2024-10-25 14:28:51,2025-11-25 19:13:04,515.0,515.0,515.0,515.0,15,True,D64,30.0,True,big_spenders,3,1,4,314
TX,US,7725.0,15,2024-10-07 14:33:18,2025-12-07 19:16:54,515.0,515.0,515.0,515.0,3,True,D65,30.0,True,big_spenders,3,2,4,324
TX,US,721.0,14,2024-10-15 14:52:11,2025-11-15 19:20:29,51.5,51.5,51.5,51.5,25,True,D66,30.0,True,other,3,1,1,311
TX,US,1424.0,14,2024-10-26 14:21:21,2025-11-27 19:14:12,101.71428571428572,103.0,103.0,100.0,13,True,D67,30.0,True,other,3,1,2,312
WA,US,1500.0,15,2024-10-10 14:21:52,2025-12-10 19:13:19,100.0,100.0,100.0,100.0,0,True,D68,30.0,True,other,3,2,2,322
OH,US,51.5,1,2022-04-04 01:33:00,2022-04-04 01:33:00,51.5,51.5,51.5,51.5,1347,False,D69,,False,one_time,,,,
CO,US,3120.0,39,2022-10-01 21:33:12,2025-12-01 19:25:24,80.0,80.0,80.0,80.0,9,True,D70,29.0,True,champions,3,4,4,344
WI,US,3900.0,39,2022-10-01 21:32:34,2025-12-01 19:24:48,100.0,100.0,100.0,100.0,9,True,D71,29.0,True,champions,3,4,4,344
AZ,US,3860.0,38,2022-10-07 18:02:20,2025-11-19 19:12:38,101.57894736842104,103.0,103.0,100.0,21,True,D72,30.0,True,champions,3,4,4,344
CA,US,2942.0,22,2022-09-01 21:30:24,2024-06-01 15:40:27,133.72727272727272,100.0,206.0,100.0,557,True,D73,29.0,True,churned,1,3,3,133
MD,US,2300.0,23,2024-01-17 17:45:39,2025-11-17 19:14:53,100.0,100.0,100.0,100.0,23,True,D74,30.0,True,loyal_donors,3,3,3,333
AZ,US,2925.0,39,2022-10-04 05:01:59,2025-12-12 09:00:00,75.0,75.0,75.0,75.0,-1,True,D75,27.0,True,loyal_donors,3,4,3,343
LA,US,600.0,6,2022-10-01 21:33:04,2023-03-01 20:48:15,100.0,100.0,100.0,100.0,1015,True,D76,30.0,True,churned,1,1,1,111
AZ,US,206.0,1,2024-04-18 09:31:06,2024-04-18 09:31:06,206.0,206.0,206.0,206.0,602,False,D77,,False,one_time,,,,
AZ,US,25.0,1,2023-12-26 04:18:37,2023-12-26 04:18:37,25.0,25.0,25.0,25.0,716,False,D78,,False,one_time,,,,
TX,US,952.75,37,2022-08-07 17:46:17,2025-12-07 19:17:06,25.75,25.75,25.75,25.75,3,True,D79,30.0,True,loyal_donors,3,3,1,331
AZ,US,2060.0,40,2022-09-01 21:30:06,2025-12-01 19:25:29,51.5,51.5,51.5,51.5,9,True,D80,29.0,True,loyal_donors,3,4,3,343
TX,US,1600.0,16,2024-09-05 14:31:33,2025-12-05 19:16:28,100.0,100.0,100.0,100.0,5,True,D81,30.0,True,other,3,2,2,322
AZ,US,7555.18,38,2022-03-01 01:00:00,2025-09-17 19:13:17,198.8205263157895,100.0,2455.18,100.0,84,True,D82,30.0,True,lapsed,2,4,4,244
CO,US,412.0,4,2022-08-25 18:00:37,2022-12-25 17:48:33,103.0,103.0,103.0,103.0,1081,True,D83,31.0,True,churned,1,1,1,111
TX,US,2050.0,41,2022-08-06 17:46:40,2025-12-06 19:13:07,50.0,50.0,50.0,50.0,4,True,D84,30.0,True,loyal_donors,3,4,3,343
AZ,US,1100.0,1,2024-04-06 00:46:22,2024-04-06 00:46:22,1100.0,1100.0,1100.0,1100.0,614,False,D85,,False,one_time,,,,
AZ,US,51.5,1,2025-04-23 14:12:30,2025-04-23 14:12:30,51.5,51.5,51.5,51.5,232,False,D86,,False,one_time,,,,
AZ,US,850.0,17,2022-10-01 21:33:01,2024-02-01 20:43:03,50.0,50.0,50.0,50.0,678,True,D87,30.0,True,churned,1,2,1,121
AZ,US,51.5,1,2022-09-01 21:30:21,2022-09-01 21:30:21,51.5,51.5,51.5,51.5,1196,False,D88,,False,one_time,,,,
CO,US,1030.0,20,2022-08-12 17:54:08,2024-04-01 20:58:25,51.5,51.5,51.5,51.5,618,True,D89,30.0,True,churned,1,3,2,132
CO,US,2500.0,25,2022-08-10 18:07:53,2024-08-10 14:25:57,100.0,100.0,100.0,100.0,488,True,D90,30.0,True,churned,1,3,3,133
AZ,US,1339.0,13,2022-10-01 21:33:14,2023-10-01 20:40:16,103.0,103.0,103.0,103.0,801,True,D91,30.0,True,churned,1,1,2,112
AZ,US,5275.0,40,2022-09-12 17:43:47,2025-11-15 19:23:24,131.875,125.0,400.0,125.0,25,True,D92,30.0,True,champions,3,4,4,344
TX,US,700.0,14,2024-10-16 14:31:00,2025-11-16 19:19:31,50.0,50.0,50.0,50.0,24,True,D93,31.0,True,other,3,1,1,311
MN,US,250.0,1,2022-05-24 09:00:00,2022-05-24 09:00:00,250.0,250.0,250.0,250.0,1297,False,D94,,False,one_time,,,,
AZ,US,4600.0,42,2022-08-01 21:50:12,2025-12-01 19:23:46,109.52380952380952,100.0,500.0,100.0,9,True,D95,30.0,True,champions,3,4,4,344
TX,US,350.0,14,2024-11-05 13:13:31,2025-12-05 19:16:04,25.0,25.0,25.0,25.0,5,True,D96,30.0,True,other,3,1,1,311
TX,US,1400.0,14,2024-11-01 15:18:07,2025-12-01 19:23:15,100.0,100.0,100.0,100.0,9,True,D97,30.0,True,other,3,1,2,312
OK,US,1100.0,2,2022-03-07 18:09:00,2022-09-21 17:03:39,550.0,550.0,600.0,500.0,1176,True,D98,197.0,False,rec_not_monthly,,,,
TX,US,927.0,15,2024-10-07 14:34:22,2025-12-07 19:17:14,61.8,61.8,61.8,61.8,3,True,D99,30.0,True,other,3,2,1,321
TX,US,1400.0,14,2024-10-13 14:38:06,2025-11-13 19:12:24,100.0,100.0,100.0,100.0,27,True,D100,30.0,True,other,3,1,2,312
AZ,US,609.0,2,2022-02-25 06:56:00,2022-10-15 08:35:09,304.5,304.5,309.0,300.0,1153,True,D101,232.0,False,rec_not_monthly,,,,
CO,US,1318.4,41,2022-08-08 17:45:58,2025-12-01 19:22:27,32.15609756097561,15.45,51.5,15.45,9,True,D102,30.0,True,loyal_donors,3,4,2,342
AZ,US,103.0,1,2022-10-20 02:45:35,2022-10-20 02:45:35,103.0,103.0,103.0,103.0,1148,False,D103,,False,one_time,,,,
KS,US,1500.0,1,2024-05-03 15:56:49,2024-05-03 15:56:49,1500.0,1500.0,1500.0,1500.0,586,False,D104,,False,one_time,,,,
TX,US,1400.0,14,2024-11-06 13:11:42,2025-12-06 19:13:09,100.0,100.0,100.0,100.0,4,True,D105,30.0,True,other,3,1,2,312
CO,US,750.0,1,2024-05-02 11:10:34,2024-05-02 11:10:34,750.0,750.0,750.0,750.0,588,False,D106,,False,one_time,,,,
AZ,US,1205.1,39,2022-09-17 17:48:13,2025-11-17 19:14:34,30.9,30.9,30.9,30.9,23,True,D107,30.0,True,loyal_donors,3,4,2,342
CO,US,3800.0,38,2022-10-15 20:18:24,2025-11-15 19:20:56,100.0,100.0,100.0,100.0,25,True,D108,30.0,True,champions,3,4,4,344
DC,US,800.0,14,2024-11-01 15:32:11,2025-12-01 19:25:49,57.142857142857146,50.0,100.0,50.0,9,True,D109,29.0,True,other,3,1,1,311
TX,US,77.25,3,2024-10-07 14:34:42,2024-12-07 13:12:07,25.75,25.75,25.75,25.75,369,True,D110,30.0,True,churned,1,1,1,111
CO,US,6000.0,4,2022-12-09 17:51:29,2025-07-27 19:24:37,1500.0,1500.0,2000.0,1000.0,136,True,D111,373.0,False,rec_not_monthly,,,,
AR,US,1000.0,1,2025-07-14 19:21:06,2025-07-14 19:21:06,1000.0,1000.0,1000.0,1000.0,149,False,D112,,False,one_time,,,,
TX,US,700.0,14,2024-11-01 15:19:08,2025-12-01 19:23:27,50.0,50.0,50.0,50.0,9,True,D113,29.0,True,other,3,1,1,311
AZ,US,7500.0,1,2022-09-10 00:36:24,2022-09-10 00:36:24,7500.0,7500.0,7500.0,7500.0,1188,False,D114,,False,one_time,,,,
AZ,US,2360.0,20,2024-02-24 17:42:29,2025-09-24 19:12:49,118.0,128.75,128.75,75.0,77,True,D115,30.0,True,lapsed,2,3,3,233
TX,US,2000.0,14,2024-10-18 14:30:04,2025-11-18 19:12:48,142.85714285714286,150.0,150.0,50.0,22,True,D116,30.0,True,other,3,1,3,313
TX,US,2884.0,14,2024-10-20 14:41:48,2025-11-20 19:13:09,206.0,206.0,206.0,206.0,20,True,D117,30.0,True,other,3,1,3,313
TX,US,1400.0,14,2024-11-01 15:29:09,2025-12-01 19:25:18,100.0,100.0,100.0,100.0,9,True,D118,29.0,True,other,3,1,2,312
AZ,US,2987.0,29,2022-09-16 18:10:38,2025-01-19 13:12:59,103.0,103.0,103.0,103.0,326,True,D119,30.0,True,churned,1,3,3,133
AZ,US,500.0,1,2022-10-19 17:41:57,2022-10-19 17:41:57,500.0,500.0,500.0,500.0,1148,False,D120,,False,one_time,,,,
AZ,US,9750.0,39,2022-09-15 20:03:44,2025-11-15 19:20:38,250.0,250.0,250.0,250.0,25,True,D121,30.0,True,champions,3,4,4,344
AZ,US,1545.0,6,2025-07-10 19:19:09,2025-12-10 19:17:24,257.5,257.5,257.5,257.5,0,True,D122,30.0,True,other,3,1,2,312
Cebu,PHIL,250.0,1,2024-05-01 21:00:40,2024-05-01 21:00:40,250.0,250.0,250.0,250.0,588,False,D123,,False,one_time,,,,
AZ,US,4120.0,40,2022-08-23 17:41:08,2025-12-09 19:12:47,103.0,103.0,103.0,103.0,1,True,D124,30.0,True,champions,3,4,4,344
AZ,US,2409.0,22,2022-09-20 07:55:59,2025-11-17 19:14:43,109.5,100.0,309.0,100.0,23,True,D125,30.0,True,loyal_donors,3,3,3,333
TX,US,7000.0,15,2024-10-15 14:49:52,2025-11-15 19:19:53,466.6666666666667,250.0,3500.0,250.0,25,True,D126,30.0,True,big_spenders,3,2,4,324
AZ,US,103.0,1,2022-02-22 08:34:00,2022-02-22 08:34:00,103.0,103.0,103.0,103.0,1388,False,D127,,False,one_time,,,,
AZ,US,1050.0,12,2022-07-02 17:52:00,2023-06-02 17:56:40,87.5,100.0,100.0,50.0,922,True,D128,30.0,True,churned,1,1,2,112
AZ,US,40.0,1,2022-10-14 21:16:21,2022-10-14 21:16:21,40.0,40.0,40.0,40.0,1153,False,D129,,False,one_time,,,,
AZ,US,600.0,1,2024-06-28 14:42:42,2024-06-28 14:42:42,600.0,600.0,600.0,600.0,530,False,D130,,False,one_time,,,,
TX,US,1400.0,14,2024-10-20 14:41:42,2025-11-20 19:13:07,100.0,100.0,100.0,100.0,20,True,D131,30.0,True,other,3,1,2,312
MO,US,75.0,1,2024-09-17 14:27:08,2024-09-17 14:27:08,75.0,75.0,75.0,75.0,450,False,D132,,False,one_time,,,,
AZ,US,4560.0,41,2022-09-01 21:30:03,2025-12-01 19:25:26,111.21951219512196,51.5,2500.0,51.5,9,True,D133,29.0,True,champions,3,4,4,344
AZ,US,8034.0,39,2022-09-26 17:44:51,2025-11-26 19:12:33,206.0,206.0,206.0,206.0,14,True,D134,30.0,True,champions,3,4,4,344
TX,US,2100.0,14,2024-11-01 15:32:09,2025-12-01 19:25:51,150.0,150.0,150.0,150.0,9,True,D135,29.0,True,other,3,1,3,313
TX,US,309.0,3,2022-08-17 17:46:35,2022-10-17 17:46:33,103.0,103.0,103.0,103.0,1150,True,D136,30.0,True,churned,1,1,1,111
AZ,US,3553.5,23,2022-10-01 21:32:59,2024-08-01 15:19:23,154.5,154.5,154.5,154.5,496,True,D137,30.0,True,churned,1,3,4,134
AZ,US,2909.0,8,2022-09-17 17:48:13,2025-09-23 19:16:25,363.625,300.0,1000.0,100.0,78,True,D138,138.0,False,rec_not_monthly,,,,
